æbəhəlimə:abohalima;æ:a,bə:bo,hə:ha,li:li,mə:ma;~æ~ə~ə~i~ə~
kɪŋ:king;kɪ:ki,ŋ:ng;~ɪ~2,~
kɛə:care;kɛ:ca,ə:re;~ɛ~ə~
kɔɪ:caughey;kɔ:cau,ɪ:ghey;~ɔ~ɪ~
kɑɹbən:carbon;kɑ:ca,ɹbə:rbo,n:n;~ɑ~ə~1,~
kɑɹd:card;kɑ:ca,ɹd:rd;~ɑ~2,~
kɔɹd:cord;kɔ:co,ɹd:rd;~ɔ~1,~
kɑɹdbɔɹd:cardboard;kɑ:ca,ɹdbɔ:rdboa,ɹd:rd;~ɑ~ɔ~1,~
kɪŋdəm:kingdom;kɪ:ki,ŋdə:ngdo,m:m;~ɪ~ə~1,~
kɔɹk:cork;kɔ:co,ɹk:rk;~ɔ~1,~
kɑŋkwɛst:conquest;kɑ:co,ŋkwɛ:nque,st:st;~ɑ~ɛ~1,~
kɑŋkəɹ:conquer;kɑ:co,ŋkə:nque,ɹ:r;~ɑ~ə~1,~
kɑŋkəɹəɹ:conqueror;kɑ:co,ŋkə:nque,ɹə:ro,ɹ:r;~ɑ~ə~ə~1,~
kɜɹl:curl;kɜ:cu,ɹl:rl;~ɜ~1,~
kɑɹmən:carmen;kɑ:ca,ɹmə:rme,n:n;~ɑ~ə~1,~
kɔɹn:corn;kɔ:co,ɹn:rn;~ɔ~1,~
kɔɹnkɹɪb:corncrib;kɔ:co,ɹn:rn,kɹɪ:cri,b:b;~ɔ~1,~ɪ~1,~
kɜɹnz:kerns;kɜ:ke,ɹnz:rns;~ɜ~1,~
kɔɹnəɹ:corner;kɔ:co,ɹnə:rne,ɹ:r;~ɔ~ə~1,~
kɔɹpsəz:corpses;kɔ:co,ɹpsə:rpse,z:s;~ɔ~ə~1,~
kɔɹs:corse;kɔ:co,ɹs:rse;~ɔ~1,~
kɔɹs:coarse;kɔ:coa,ɹs:rse;~ɔ~1,~
kɔɹs:course;kɔ:cou,ɹs:rse;~ɔ~1,~
kɜɹs:curse;kɜ:cu,ɹs:rse;~ɜ~1,~
kɑɹt:cart;kɑ:ca,ɹt:rt;~ɑ~1,~
kɔɹt:court;kɔ:cou,ɹt:rt;~ɔ~2,~
kɜɹtɛn:curtain;kɜ:cu,ɹtɛ:rtai,n:n;~ɜ~ɛ~1,~
kɜɹv:curve;kɜ:cu,ɹv:rve;~ɜ~1,~
kɑɹz:cars;kɑ:ca,ɹz:rs;~ɑ~1,~
kɛɹɪ:carrey;kɛ:ca,ɹɪ:rrey;~ɛ~ɪ~
kɛɹədʒ:carriage;kɛ:ca,ɹə:rria,dʒ:ge;~ɛ~ə~1,~
kʌɹɛdʒ:courage;kʌ:cou,ɹɛ:ra,dʒ:ge;~ʌ~ɛ~1,~
kɛɹɪktəɹ:character;kɛ:cha,ɹɪ:ra,ktə:cte,ɹ:r;~ɛ~ɪ~ə~1,~
kɔɹəlz:chorals;kɔ:cho,ɹə:ra,lz:ls;~ɔ~ə~1,~
kɑʃən:caution;kɑ:cau,ʃə:tio,n:n;~ɑ~ə~1,~
kʊʃən:cushion;kʊ:cu,ʃə:shio,n:n;~ʊ~ə~1,~
kɜɹənt:current;kɜ:cu,ɹə:rre,nt:nt;~ɜ~ə~1,~
kʌɹɛnt:current;kʌ:cu,ɹɛ:rre,nt:nt;~ʌ~ɛ~1,~
kɜɹəntlɪ:currently;kɜ:cu,ɹə:rre,ntlɪ:ntly;~ɜ~ə~ɪ~
kɔʃəs:cautious;kɔ:cau,ʃə:tiou,s:s;~ɔ~ə~1,~
kɛɹəvɛl:caravelle;kɛ:ca,ɹə:ra,vɛ:ve,l:lle;~ɛ~ə~ɛ~1,~
kʌltɪveɪʃən:cultivation;kʌ:cu,ltɪ:lti,veɪ:va,ʃə:tio,n:n;~ʌ~ɪ~eɪ~ə~1,~
kɑmbəneɪʃən:combination;kɑ:co,mbə:mbi,neɪ:na,ʃə:tio,n:n;~ɑ~ə~eɪ~ə~1,~
kɑmpləkeɪʃən:complication;kɑ:co,mplə:mpli,keɪ:ca,ʃə:tio,n:n;~ɑ~ə~eɪ~ə~1,~
kɑmpətɪʃən:competition;kɑ:co,mpə:mpe,tɪ:ti,ʃə:tio,n:n;~ɑ~ə~ɪ~ə~2,~
kɑmpəzɪʃən:composition;kɑ:co,mpə:mpo,zɪ:si,ʃə:tio,n:n;~ɑ~ə~ɪ~ə~1,~
kɑmpɹɪhɛnsɪv:comprehensive;kɑ:co,mpɹɪ:mpre,hɛ:he,nsɪ:nsi,v:ve;~ɑ~ɪ~ɛ~ɪ~1,~
kɑnfədɛnʃəl:confidential;kɑ:co,nfə:nfi,dɛ:de,nʃə:ntia,l:l;~ɑ~ə~ɛ~ə~1,~
kɑnstæntənoʊpl:constantinople;kɑ:co,nstæ:nsta,ntə:nti,noʊ:no,pl:ple;~ɑ~æ~ə~oʊ~1,~
kɑnsəlteɪʃən:consultation;kɑ:co,nsə:nsu,lteɪ:lta,ʃə:tio,n:n;~ɑ~ə~eɪ~ə~1,~
kɑnvəɹseɪʃən:conversation;kɑ:co,nvə:nve,ɹseɪ:rsa,ʃə:tio,n:n;~ɑ~ə~eɪ~ə~2,~
kɑɹbəʊhaɪdɹəɪts:carbohydrates;kɑ:ca,ɹbəʊ:rbo,haɪ:hy,dɹəɪ:dra,ts:tes;~ɑ~əʊ~aɪ~əɪ~1,~
kɔɹpəɹeɪʃənz:corporation's;kɔ:co,ɹpə:rpo,ɹeɪ:ra,ʃə:tio,nz:n's;~ɔ~ə~eɪ~ə~1,~
kɹæk:crack;kɹæ:cra,k:ck;~æ~1,~
kɹæʃ:crash;kɹæ:cra,ʃ:sh;~æ~1,~
kɹaɪtɪɹɪə:criteria;kɹaɪ:cri,tɪ:te,ɹɪ:ri,ə:a;~aɪ~ɪ~ɪ~ə~
kɹaɪ:cry;kɹaɪ:cry;~aɪ~
kɹaʊd:crowd;kɹaʊ:crow,d:d;~aʊ~1,~
kɹaɪm:crime;kɹaɪ:cri,m:me;~aɪ~1,~
kɹaʊn:crown;kɹaʊ:crow,n:n;~aʊ~1,~
kɹaɪst:christ;kɹaɪ:chri,st:st;~aɪ~1,~
kɹeɪzɪ:crazy;kɹeɪ:cra,zɪ:zy;~eɪ~ɪ~
kɹeɪzɪjɜɹ:crazier;kɹeɪ:cra,zɪ:zi,jɜ:e,ɹ:r;~eɪ~ɪ~ɜ~1,~
kɹim:cream;kɹi:crea,m:m;~i~1,~
kɹip:creep;kɹi:cree,p:p;~i~1,~
kɹitʃəɹ:creature;kɹi:crea,tʃə:tu,ɹ:re;~i~ə~1,~
kɹiʃnə:krishna;kɹi:kri,ʃnə:shna;~i~ə~
kɹoʊkipəɹz:crowkeepers;kɹoʊ:crow,ki:kee,pə:pe,ɹz:rs;~oʊ~i~ə~1,~
kɹoʊlɪ:croley;kɹoʊ:cro,lɪ:ley;~oʊ~ɪ~
kɹoʊnɪɪzəm:cronyism;kɹoʊ:cro,nɪ:ny,ɪ:i,zə:s,m:m;~oʊ~ɪ~ɪ~ə~1,~
kɹuɛl:cruel;kɹu:cru,ɛ:e,l:l;~u~ɛ~1,~
kɹuɛltɪ:cruelty;kɹu:cru,ɛ:e,ltɪ:lty;~u~ɛ~ɪ~
kɹɪeɪt:create;kɹɪ:cre,eɪ:a,t:te;~ɪ~eɪ~1,~
kɹɪeɪtəd:created;kɹɪ:cre,eɪ:a,tə:te,d:d;~ɪ~eɪ~ə~2,~
kɹɪeɪtɪv:creative;kɹɪ:cre,eɪ:a,tɪ:ti,v:ve;~ɪ~eɪ~ɪ~1,~
kɹɪeɪtɪŋ:creating;kɹɪ:cre,eɪ:a,tɪ:ti,ŋ:ng;~ɪ~eɪ~ɪ~1,~
kəʊlməɪnɛɹəʊ:colmenero;kəʊ:co,lməɪ:lme,nɛ:ne,ɹəʊ:ro;~əʊ~əɪ~ɛ~əʊ~
kəʊmɔɹɪ:komori;kəʊ:ko,mɔ:mo,ɹɪ:ri;~əʊ~ɔ~ɪ~
kəʊmɪŋɡld:commingled;kəʊ:co,mɪ:mmi,ŋɡld:ngled;~əʊ~ɪ~1,~
kəʊɜɹsɪv:coercive;kəʊ:co,ɜ:e,ɹsɪ:rci,v:ve;~əʊ~ɜ~ɪ~1,~
kɹɛdət:credit;kɹɛ:cre,də:di,t:t;~ɛ~ə~2,~
kɹɪkɛt:cricket;kɹɪ:cri,kɛ:cke,t:t;~ɪ~ɛ~1,~
kɹɔl:crall;kɹɔ:cra,l:ll;~ɔ~1,~
kɹɛl:krell;kɹɛ:kre,l:ll;~ɛ~1,~
kɹɪmənəl:criminal;kɹɪ:cri,mə:mi,nə:na,l:l;~ɪ~ə~ə~1,~
kɔɪn:coin;kɔɪ:coi,n:n;~ɔɪ~1,~
kɹʌntʃ:crunch;kɹʌ:cru,ntʃ:nch;~ʌ~1,~
kɹɑp:crop;kɹɑ:cro,p:p;~ɑ~1,~
kɹɔs:cross;kɹɔ:cro,s:ss;~ɔ~1,~
kɹɪsməs:christmas;kɹɪ:chri,smə:stma,s:s;~ɪ~ə~1,~
kɹɪstɑfɜɹ:christopher;kɹɪ:chri,stɑ:sto,fɜ:phe,ɹ:r;~ɪ~ɑ~ɜ~1,~
kɹɪstʃən:christian;kɹɪ:chri,stʃə:stia,n:n;~ɪ~ə~1,~
kɹɪtɪk:critic;kɹɪ:cri,tɪ:ti,k:c;~ɪ~ɪ~1,~
kɹɪtɪsaɪzɪz:criticizes;kɹɪ:cri,tɪ:ti,saɪ:ci,zɪ:ze,z:s;~ɪ~ɪ~aɪ~ɪ~1,~
kɹʌʃ:crush;kɹʌ:cru,ʃ:sh;~ʌ~1,~
læb:lab;læ:la,b:b;~æ~1,~
lædəɹ:ladder;læ:la,də:dde,ɹ:r;~æ~ə~1,~
læk:lack;læ:la,k:ck;~æ~1,~
læm:lamb;læ:la,m:mb;~æ~1,~
læmdə:lambda;læ:la,mdə:mbda;~æ~ə~
læmp:lamp;læ:la,mp:mp;~æ~1,~
lændlɔɹd:landlord;læ:la,nd:nd,lɔ:lo,ɹd:rd;~æ~1,~ɔ~1,~
lændskeɪpɪŋ:landscaping;læ:la,nd:nd,skeɪ:sca,pɪ:pi,ŋ:ng;~æ~1,~eɪ~ɪ~1,~
lænd:land;læ:la,nd:nd;~æ~1,~
læst:last;læ:la,st:st;~æ~1,~
lætəɹ:latter;læ:la,tə:tte,ɹ:r;~æ~ə~1,~
læŋɡwədʒ:language;læ:la,ŋɡwə:ngua,dʒ:ge;~æ~ə~1,~
laɪbɹɛɹiən:librarian;laɪ:li,bɹɛ:bra,ɹi:ri,ə:a,n:n;~aɪ~ɛ~i~ə~1,~
laɪ:lie;laɪ:lie;~aɪ~
laɪbɹɛɹi:library;laɪ:li,bɹɛ:bra,ɹi:ry;~aɪ~ɛ~i~
laʊd:loud;laʊ:lou,d:d;~aʊ~1,~
laɪf:life;laɪ:li,f:fe;~aɪ~1,~
laɪk:like;laɪ:li,k:ke;~aɪ~1,~
laɪklɪ:likely;laɪ:li,klɪ:kely;~aɪ~ɪ~
laɪl:lisle;laɪ:li,l:sle;~aɪ~1,~
laɪn:line;laɪ:li,n:ne;~aɪ~1,~
laɪnz:lines;laɪ:li,nz:nes;~aɪ~2,~
laʊnəɹ:lawner;laʊ:law,nə:ne,ɹ:r;~aʊ~ə~1,~
laɪsɪŋ:leising;laɪ:lei,sɪ:si,ŋ:ng;~aɪ~ɪ~1,~
laɪt:light;laɪ:li,t:ght;~aɪ~3,~
laɪtl:lytle;laɪ:ly,tl:tle;~aɪ~1,~
laɪtn:lighten;laɪ:li,tn:ghten;~aɪ~1,~
laɪtnɪŋ:lightning;laɪ:li,tnɪ:ghtni,ŋ:ng;~aɪ~ɪ~1,~
laɪv:live;laɪ:li,v:ve;~aɪ~1,~
laɪən:lion;laɪ:li,ə:o,n:n;~aɪ~ə~1,~
laɪəɹ:liar;laɪ:li,ə:a,ɹ:r;~aɪ~ə~1,~
leɪ:lay;leɪ:lay;~eɪ~
leɪbəɹ:labor;leɪ:la,bə:bo,ɹ:r;~eɪ~ə~1,~
leɪdɪ:lady;leɪ:la,dɪ:dy;~eɪ~ɪ~
leɪk:lake;leɪ:la,k:ke;~eɪ~1,~
leɪmən:laymen;leɪ:lay,mə:me,n:n;~eɪ~ə~1,~
leɪtlɪ:lately;leɪ:la,t:te,lɪ:ly;~eɪ~1,~ɪ~
leɪt:late;leɪ:la,t:te;~eɪ~2,~
leɪtəst:latest;leɪ:la,tə:te,st:st;~eɪ~ə~2,~
leɪtəɹ:later;leɪ:la,tə:te,ɹ:r;~eɪ~ə~1,~
leɪzɪ:lazy;leɪ:la,zɪ:zy;~eɪ~ɪ~
lib:leeb;li:lee,b:b;~i~1,~
lidəɹʃɪp:leadership;li:lea,də:de,ɹ:r,ʃɪ:shi,p:p;~i~ə~1,~ɪ~1,~
lidəɹ:leader;li:lea,də:de,ɹ:r;~i~ə~1,~
lidɪŋ:leading;li:lea,dɪ:di,ŋ:ng;~i~ɪ~2,~
lif:leaf;li:lea,f:f;~i~1,~
likəʊ:leeco;li:lee,kəʊ:co;~i~əʊ~
lin:lean;li:lea,n:n;~i~1,~
list:least;li:lea,st:st;~i~1,~
litəɹ:liter;li:li,tə:te,ɹ:r;~i~ə~1,~
liv:leave;li:lea,v:ve;~i~1,~
liɡəl:legal;li:le,ɡə:ga,l:l;~i~ə~2,~
lowəɹ:lower;lo:low,wə:e,ɹ:r;~o~ə~2,~
loʊ:low;loʊ:low;~oʊ~
loʊd:load;loʊ:loa,d:d;~oʊ~1,~
loʊf:loaf;loʊ:loa,f:f;~oʊ~1,~
loʊkeɪt:locate;loʊ:lo,keɪ:ca,t:te;~oʊ~eɪ~1,~
loʊkeɪtəd:located;loʊ:lo,keɪ:ca,tə:te,d:d;~oʊ~eɪ~ə~2,~
loʊkəl:local;loʊ:lo,kə:ca,l:l;~oʊ~ə~1,~
loʊnlɪ:lonely;loʊ:lo,n:ne,lɪ:ly;~oʊ~1,~ɪ~
loʊn:loan;loʊ:loa,n:n;~oʊ~1,~
lus:loose;lu:loo,s:se;~u~1,~
lusn:loosen;lu:loo,sn:sen;~u~1,~
luz:lose;lu:lo,z:se;~u~1,~
ləɹinə:larina;lə:la,ɹi:ri,nə:na;~ə~i~ə~
lɔ:law;lɔ:law;~ɔ~
lɪbəɹti:liberty;lɪ:li,bə:be,ɹti:rty;~ɪ~ə~i~
lɛd:led;lɛ:le,d:d;~ɛ~1,~
lɛd:lead;lɛ:lea,d:d;~ɛ~2,~
lɪd:lid;lɪ:li,d:d;~ɪ~1,~
lɛdloʊ:ledlow;lɛ:le,dloʊ:dlow;~ɛ~oʊ~
lɑdʒ:lodge;lɑ:lo,dʒ:dge;~ɑ~1,~
lɑdʒɪŋ:lodging;lɑ:lo,dʒɪ:dgi,ŋ:ng;~ɑ~ɪ~1,~
lɑdʒɪŋz:lodgings;lɑ:lo,dʒɪ:dgi,ŋz:ngs;~ɑ~ɪ~1,~
lʌf:laugh;lʌ:lau,f:gh;~ʌ~1,~
lɛft:left;lɛ:le,ft:ft;~ɛ~1,~
lɪft:lift;lɪ:li,ft:ft;~ɪ~1,~
lʌftəɹ:laughter;lʌ:lau,ftə:ghte,ɹ:r;~ʌ~ə~1,~
lɛfəɹt:lefort;lɛ:le,fə:fo,ɹt:rt;~ɛ~ə~1,~
lɑk:lock;lɑ:lo,k:ck;~ɑ~1,~
lʊk:look;lʊ:loo,k:k;~ʊ~1,~
lʌk:luck;lʌ:lu,k:ck;~ʌ~1,~
lʌki:lucky;lʌ:lu,ki:cky;~ʌ~i~
lʊks:looks;lʊ:loo,ks:ks;~ʊ~1,~
lʊkt:looked;lʊ:loo,kt:ked;~ʊ~2,~
lɪkwɪd:liquid;lɪ:li,kwɪ:qui,d:d;~ɪ~ɪ~1,~
lʊkɪŋ:looking;lʊ:loo,kɪ:ki,ŋ:ng;~ʊ~ɪ~1,~
lɪm:limb;lɪ:li,m:mb;~ɪ~1,~
lʌmp:lump;lʌ:lu,mp:mp;~ʌ~1,~
lɪmət:limit;lɪ:li,mə:mi,t:t;~ɪ~ə~1,~
lɪmətəd:limited;lɪ:li,mə:mi,tə:te,d:d;~ɪ~ə~ə~2,~
lɛnd:lend;lɛ:le,nd:nd;~ɛ~1,~
lʌndən:london;lʌ:lo,ndə:ndo,n:n;~ʌ~ə~2,~
lɔntʃ:launch;lɔ:lau,ntʃ:nch;~ɔ~1,~
lʌntʃ:lunch;lʌ:lu,ntʃ:nch;~ʌ~1,~
lɪpstɪk:lipstick;lɪ:li,p:p,stɪ:sti,k:ck;~ɪ~1,~ɪ~1,~
lɪp:lip;lɪ:li,p:p;~ɪ~1,~
lɛs:less;lɛ:le,s:ss;~ɛ~1,~
lɔs:loss;lɔ:lo,s:ss;~ɔ~2,~
lɛsn:lessen;lɛ:le,sn:ssen;~ɛ~1,~
lɛsn:lesson;lɛ:le,sn:sson;~ɛ~1,~
lɪsn:listen;lɪ:li,sn:sten;~ɪ~1,~
lɪst:list;lɪ:li,st:st;~ɪ~2,~
lɔst:lost;lɔ:lo,st:st;~ɔ~1,~
lɪsɪ:lissy;lɪ:li,sɪ:ssy;~ɪ~ɪ~
lɛsən:lesson;lɛ:le,sə:sso,n:n;~ɛ~ə~1,~
lɛt:let;lɛ:le,t:t;~ɛ~1,~
lɑt:lot;lɑ:lo,t:t;~ɑ~1,~
lɪtl:little;lɪ:li,tl:ttle;~ɪ~2,~
lɑts:lots;lɑ:lo,ts:ts;~ɑ~1,~
lɛtəɹ:letter;lɛ:le,tə:tte,ɹ:r;~ɛ~ə~1,~
lɪtɪɡeɪtɪd:litigated;lɪ:li,tɪ:ti,ɡeɪ:ga,tɪ:te,d:d;~ɪ~ɪ~eɪ~ɪ~1,~
lɪtɛɹəlɪ:literally;lɪ:li,tɛ:te,ɹə:ra,lɪ:lly;~ɪ~ɛ~ə~ɪ~
lɪtəɹətʃəɹ:literature;lɪ:li,tə:te,ɹə:ra,tʃə:tu,ɹ:re;~ɪ~ə~ə~ə~1,~
lɪtəɹɛɹɪ:literary;lɪ:l,tə:ite,ɹɛ:ra,ɹɪ:ry;~ɪ~ə~ɛ~ɪ~
lʌvlɪ:lovely;lʌ:lo,v:ve,lɪ:ly;~ʌ~1,~ɪ~
lʌv:love;lʌ:lo,v:ve;~ʌ~1,~
lɪvd:lived;lɪ:li,vd:ved;~ɪ~1,~
lɪvz:lives;lɪ:li,vz:ves;~ɪ~1,~
lɛvɛl:level;lɛ:le,vɛ:ve,l:l;~ɛ~ɛ~1,~
lɛvəlz:levels;lɛ:le,və:ve,lz:ls;~ɛ~ə~1,~
lɛvɛlz:levels;lɛ:le,vɛ:ve,lz:ls;~ɛ~ɛ~1,~
lɪvɪŋ:living;lɪ:li,vɪ:vi,ŋ:ng;~ɪ~ɪ~1,~
lɔyəɹ:lawyer;lɔ:law,yə:ye,ɹ:r;~ɔ~ə~1,~
lɛðəɹ:leather;lɛ:lea,ðə:the,ɹ:r;~ɛ~ə~1,~
lɛɡ:leg;lɛ:le,ɡ:g;~ɛ~1,~
lɔɡ:log;lɔ:lo,ɡ:g;~ɔ~1,~
lɔŋ:long;lɔ:lo,ŋ:ng;~ɔ~1,~
lʌŋ:lung;lʌ:lu,ŋ:ng;~ʌ~1,~
lɔɹd:lord;lɔ:lo,ɹd:rd;~ɔ~1,~
lɑɹdʒlɪ:largely;lɑ:la,ɹdʒ:rge,lɪ:ly;~ɑ~1,~ɪ~
lɑɹdʒ:large;lɑ:la,ɹdʒ:rge;~ɑ~1,~
lɛŋgθ:length;lɛ:le,ŋg:ng,θ:th;~ɛ~1,~1,~
lɪŋk:link;lɪ:li,ŋk:nk;~ɪ~2,~
lɪŋks:link's;lɪ:li,ŋks:nk's;~ɪ~1,~
lɜɹn:learn;lɜ:lea,ɹn:rn;~ɜ~1,~
lɜɹnd:learned;lɜ:lea,ɹnd:rned;~ɜ~1,~
lɜɹnɪŋ:learning;lɜ:lea,ɹnɪ:rni,ŋ:ng;~ɜ~ɪ~1,~
lɑɹə:lara;lɑ:la,ɹə:ra;~ɑ~ə~
lɔɹəns:lowrance;lɔ:low,ɹə:ra,ns:nce;~ɔ~ə~1,~
lɑŋɡlɪ:longley;lɑ:lo,ŋɡlɪ:ngley;~ɑ~ɪ~
lɛŋθn:lengthen;lɛ:le,ŋθn:ngthen;~ɛ~1,~
lɛŋθən:lengthen;lɛ:le,ŋθə:ngthe,n:n;~ɛ~ə~1,~
lɔŋɡəɹ:longer;lɔ:lo,ŋɡə:nge,ɹ:r;~ɔ~ə~1,~
lɔŋdistəns:longdistance;lɔ:lo,ŋ:ng,di:di,stə:sta,ns:nce;~ɔ~1,~i~ə~1,~
ləʊkeɪʃən:location;ləʊ:lo,keɪ:ca,ʃə:tio,n:n;~əʊ~eɪ~ə~2,~
ləʊkweɪʃəs:loquacious;ləʊ:lo,kweɪ:qua,ʃə:ciou,s:s;~əʊ~eɪ~ə~1,~
lɔɪəl:loyal;lɔɪ:loy,ə:a,l:l;~ɔɪ~ə~1,~
lɔɪəltɪ:loyalty;lɔɪ:loy,ə:a,ltɪ:lty;~ɔɪ~ə~ɪ~
mæd:mad;mæ:ma,d:d;~æ~1,~
mædn:madden;mæ:ma,dn:dden;~æ~1,~
mædʒɪk:magic;mæ:ma,dʒɪ:gi,k:c;~æ~ɪ~1,~
mæməʊɡɹæm:mammogram;mæ:ma,məʊ:mmo,ɡɹæ:gra,m:m;~æ~əʊ~æ~1,~
mænkaɪnd:mankind;mæ:ma,n:n,kaɪ:ki,nd:nd;~æ~1,~aɪ~1,~
mæn:man;mæ:ma,n:n;~æ~1,~
mændeɪts:mandates;mæ:ma,ndeɪ:nda,ts:tes;~æ~eɪ~1,~
mændəɹənz:mandarins;mæ:ma,ndə:nda,ɹə:ri,nz:ns;~æ~ə~ə~1,~
mænədʒ:manage;mæ:ma,nə:na,dʒ:ge;~æ~ə~1,~
mænədʒmənt:management;mæ:ma,nə:na,dʒmə:geme,nt:nt;~æ~ə~ə~2,~
mænədʒəɹ:manager;mæ:ma,nə:na,dʒə:ge,ɹ:r;~æ~ə~ə~1,~
mænɛdʒəɹ:manager;mæ:ma,nɛ:na,dʒə:ge,ɹ:r;~æ~ɛ~ə~1,~
mænɪk:manic;mæ:ma,nɪ:ni,k:c;~æ~ɪ~1,~
mænəɹ:manner;mæ:ma,nə:nne,ɹ:r;~æ~ə~1,~
mæp:map;mæ:ma,p:p;~æ~1,~
mæs:mass;mæ:ma,s:ss;~æ~1,~
mæstəɹ:master;mæ:ma,stə:ste,ɹ:r;~æ~ə~1,~
mæstəɹbeɪtɪŋ:masterbating;mæ:ma,stə:ste,ɹbeɪ:rba,tɪ:ti,ŋ:ng;~æ~ə~eɪ~ɪ~1,~
mæt:mat;mæ:ma,t:t;~æ~1,~
mætʃ:match;mæ:ma,tʃ:tch;~æ~1,~
mætəɹ:matter;mæ:ma,tə:tte,ɹ:r;~æ~ə~1,~
mæɡnəm:magnum;mæ:ma,ɡnə:gnu,m:m;~æ~ə~1,~
mæɹɪ:marry;mæ:ma,ɹɪ:rry;~æ~ɪ~
mæɹɪdʒ:marriage;mæ:ma,ɹɪ:rria,dʒ:ge;~æ~ɪ~1,~
mæɡəzin:magazine;mæ:ma,ɡə:ga,zi:zi,n:ne;~æ~ə~i~1,~
mæksɪmɪlɪən:maximilian;mæ:ma,ksɪ:xi,mɪ:mi,lɪ:li,ə:a,n:n;~æ~ɪ~ɪ~ɪ~ə~1,~
mænyəfæktʃəɹ:manufacture;mæ:ma,nyə:nu,fæ:fa,ktʃə:ctu,ɹ:re;~æ~ə~æ~ə~1,~
mæsədoʊnɪən:macedonian;mæ:ma,sə:ce,doʊ:do,nɪ:ni,ə:a,n:n;~æ~ə~oʊ~ɪ~ə~1,~
maɪ:my;maɪ:my;~aɪ~
maɪkɹoʊkəmpyutəɹz:microcomputers;maɪ:mi,kɹoʊ:cro,kə:co,mpyu:mpu,tə:ter,ɹz:s;~aɪ~oʊ~ə~u~ə~1,~
maɪkɹəskoʊp:microscope;maɪ:mi,kɹə:cro,skoʊ:sco,p:pe;~aɪ~ə~oʊ~1,~
maɪl:mile;maɪ:mi,l:le;~aɪ~1,~
maɪld:mild;maɪ:mi,ld:ld;~aɪ~1,~
maɪlz:miles;maɪ:mi,lz:les;~aɪ~1,~
maɪn:mine;maɪ:mi,n:ne;~aɪ~1,~
maɪnd:mind;maɪ:mi,nd:nd;~aɪ~1,~
maʊntn:mountain;maʊ:mou,ntn:ntain;~aʊ~1,~
maʊntɛn:mountain;maʊ:mou,ntɛ:ntai,n:n;~aʊ~ɛ~1,~
maɪnz:minds;maɪ:mi,nz:nds;~aɪ~1,~
maʊs:mouse;maʊ:mou,s:se;~aʊ~1,~
maɪt:might;maɪ:mi,t:ght;~aɪ~3,~
maʊθ:mouth;maʊ:mou,θ:th;~aʊ~1,~
maɪkɹəʊbɪɑlədʒɪsts:microbiologists;maɪ:mi,kɹəʊ:cro,bɪ:bi,ɑ:o,lə:lo,dʒɪ:gi,sts:sts;~aɪ~əʊ~ɪ~ɑ~ə~ɪ~1,~
maɪsɛlf:myself;maɪ:my,sɛ:se,lf:lf;~aɪ~ɛ~1,~
meɪ:may;meɪ:may;~eɪ~
meɪbɪ:maybe;meɪ:may,bɪ:be;~eɪ~ɪ~
meɪd:made;meɪ:ma,d:de;~eɪ~1,~
meɪdʒəɹ:major;meɪ:ma,dʒə:jo,ɹ:r;~eɪ~ə~1,~
meɪk:make;meɪ:ma,k:ke;~eɪ~1,~
meɪks:makes;meɪ:ma,ks:kes;~eɪ~1,~
meɪkɪŋ:making;meɪ:ma,kɪ:ki,ŋ:ng;~eɪ~ɪ~1,~
meɪl:male;meɪ:ma,l:le;~eɪ~1,~
meɪl:mail;meɪ:mai,l:l;~eɪ~1,~
meɪn:main;meɪ:mai,n:n;~eɪ~1,~
meɪhæɹɪ:meharry;meɪ:me,hæ:ha,ɹɪ:rry;~eɪ~æ~ɪ~
mi:me;mi:me;~i~
midɪə:media;mi:me,dɪ:di,ə:a;~i~ɪ~ə~
midɪəm:medium;mi:me,dɪ:di,ə:u,m:m;~i~ɪ~ə~1,~
mil:meal;mi:mea,l:l;~i~1,~
mil:miele;mi:mie,l:le;~i~1,~
mintaɪm:meantime;mi:mea,n:n,taɪ:ti,m:me;~i~1,~aɪ~1,~
minwaɪl:meanwhile;mi:mea,n:n,waɪ:whi,l:le;~i~1,~aɪ~1,~
min:mean;mi:mea,n:n;~i~1,~
minz:means;mi:mea,nz:ns;~i~1,~
minɪŋ:meaning;mi:mea,nɪ:ni,ŋ:ng;~i~ɪ~1,~
mit:meat;mi:mea,t:t;~i~1,~
mit:meet;mi:mee,t:t;~i~1,~
mitəɹ:meter;mi:me,tə:te,ɹ:r;~i~ə~1,~
mitɪŋ:meeting;mi:mee,tɪ:ti,ŋ:ng;~i~ɪ~2,~
mitəɹd:metered;mi:me,tə:te,ɹd:red;~i~ə~1,~
moʊdəɹ:moder;moʊ:mo,də:de,ɹ:r;~oʊ~ə~1,~
moʊmənt:moment;moʊ:mo,mə:me,nt:nt;~oʊ~ə~1,~
moʊməntɛɹɪ:momentary;moʊ:mo,mə:me,ntɛ:nta,ɹɪ:ry;~oʊ~ə~ɛ~ɪ~
moʊnz:moans;moʊ:moa,nz:ns;~oʊ~1,~
moʊnəs:monus;moʊ:mo,nə:nu,s:s;~oʊ~ə~1,~
moʊst:most;moʊ:mo,st:st;~oʊ~1,~
moʊtəɹ:motor;moʊ:mo,tə:to,ɹ:r;~oʊ~ə~1,~
moʊʃən:motion;moʊ:mo,ʃə:tio,n:n;~oʊ~ə~1,~
