æbəhəlimə:abohalima;:,æb:ab,əh:oh,əl:al,im:im,ə:a;~~æ~ə~ə~i~ə~
kɛmp:kempe;k:k,ɛmp:empe;~~ɛ~
kɑmpaʊnd:compound;k:c,ɑmp:omp,aʊnd:ound;~~ɑ~aʊ~
kɑmpləkeɪt:complicate;k:c,ɑmpl:ompl,ək:ic,eɪt:ate;~~ɑ~ə~eɪ~
kɑmpləkeɪtəd:complicated;k:c,ɑmpl:ompl,ək:ic,eɪt:at,əd:ed;~~ɑ~ə~eɪ~ə~
kɑmplɛks:complex;k:c,ɑmpl:ompl,ɛks:ex;~~ɑ~ɛ~
kʌmpəni:company;k:c,ʌmp:omp,ən:an,i:y;~~ʌ~ə~i~
kʌmpəniz:companies;k:c,ʌmp:omp,ən:an,iz:ies;~~ʌ~ə~i~
kɑmpɹɛsəz:compresses;k:c,ɑmpɹ:ompr,ɛs:ess,əz:es;~~ɑ~ɛ~ə~
kʌmz:comes;k:c,ʌmz:omes;~~ʌ~
kɑmə:comma;k:c,ɑm:omm,ə:a;~~ɑ~ə~
kɛmɪkəl:chemical;k:ch,ɛm:em,ɪk:ic,əl:al;~~ɛ~ɪ~ə~
kɑmən:common;k:c,ɑm:omm,ən:on;~~ɑ~ə~
kɑmɛnt:comment;k:c,ɑm:omm,ɛnt:ent;~~ɑ~ɛ~
kɛmɪstɹɪ:chemistry;k:ch,ɛm:em,ɪstɹ:istr,ɪ:y;~~ɛ~ɪ~ɪ~
kɑmɪz:commies;k:c,ɑm:omm,ɪz:ies;~~ɑ~ɪ~
kʌmɪŋ:coming;k:c,ʌm:om,ɪŋ:ing;~~ʌ~ɪ~
kɑməɹs:commerce;k:c,ɑm:omm,əɹs:erce;~~ɑ~ə~
kɑndəkt:conduct;k:c,ɑnd:ond,əkt:uct;~~ɑ~ə~
kɑnfədɛns:confidence;k:c,ɑnf:onf,əd:id,ɛns:ence;~~ɑ~ə~ɛ~
kɑnfədənt:confident;k:c,ɑnf:onf,əd:id,ənt:ent;~~ɑ~ə~ə~
kɑnfədɛnsɪz:confidences;k:c,ɑnf:onf,əd:id,ɛns:enc,ɪz:es;~~ɑ~ə~ɛ~ɪ~
kɑnfəɹəns:conference;k:c,ɑnf:onf,əɹ:er,əns:ence;~~ɑ~ə~ə~
kɑnfəɹɛns:conference;k:c,ɑnf:onf,əɹ:er,ɛns:ence;~~ɑ~ə~ɛ~
kɑnstɑɹ:constar;k:c,ɑnst:onst,ɑɹ:ar;~~ɑ~ɑ~
kɑnsənənt:consonant;k:c,ɑns:ons,ən:on,ənt:ant;~~ɑ~ə~ə~
kɑnsəɹt:concert;k:c,ɑns:onc,əɹt:ert;~~ɑ~ə~
kɑntækt:contact;k:c,ɑnt:ont,ækt:act;~~ɑ~æ~
kɑntɛnt:content;k:c,ɑnt:ont,ɛnt:ent;~~ɑ~ɛ~
kɑntɛnts:contents;k:c,ɑnt:ont,ɛnts:ents;~~ɑ~ɛ~
kɑntɹæst:contrast;k:c,ɑntɹ:ontr,æst:ast;~~ɑ~æ~
kɑntɹækt:contract;k:c,ɑntɹ:ontr,ækt:act;~~ɑ~æ~
kʌntɹɪ:country;k:c,ʌntɹ:ountr,ɪ:y;~~ʌ~ɪ~
kʌntɹɪz:countries;k:c,ʌntɹ:ountr,ɪz:ies;~~ʌ~ɪ~
kɪnə:kyna;k:k,ɪn:yn,ə:a;~~ɪ~ə~
kɑnʃəns:conscience;k:c,ɑnʃ:onsc,əns:ience;~~ɑ~ə~
kɑnʃəs:conscious;k:c,ɑnʃ:onsc,əs:ious;~~ɑ~ə~
kʌp:cup;k:c,ʌp:up;~~ʌ~
kʌpl:couple;k:c,ʌpl:ouple;~~ʌ~
kɑpɪ:copy;k:c,ɑp:op,ɪ:y;~~ɑ~ɪ~
kɑpəɹ:copper;k:c,ɑp:opp,əɹ:er;~~ɑ~ə~
kɑpəɹz:copper's;k:c,ɑp:opp,əɹz:er's;~~ɑ~ə~
kɪs:kiss;k:k,ɪs:iss;~~ɪ~
kɑst:cost;k:c,ɑst:ost;~~ɑ~
kɑsts:costs;k:c,ɑsts:osts;~~ɑ~
kʌstəm:custom;k:c,ʌst:ust,əm:om;~~ʌ~ə~
kʌstəməɹ:customer;k:c,ʌst:ust,əm:om,əɹ:er;~~ʌ~ə~ə~
kʌstəməɹz:customers;k:c,ʌst:ust,əm:om,əɹz:ers;~~ʌ~ə~ə~
kʌstəmɛɹɪ:customary;k:c,ʌst:ust,əm:om,ɛɹ:ar,ɪ:y;~~ʌ~ə~ɛ~ɪ~
kʌt:cut;k:c,ʌt:ut;~~ʌ~
kɑtədʒ:cottage;k:c,ɑt:ott,ədʒ:age;~~ɑ~ə~
kɑtɪdʒɪz:cottages;k:c,ɑt:ott,ɪdʒ:ag,ɪz:es;~~ɑ~ɪ~ɪ~
kɑtən:cotton;k:c,ɑt:ott,ən:on;~~ɑ~ə~
kʌtɪŋ:cutting;k:c,ʌt:utt,ɪŋ:ing;~~ʌ~ɪ~
kɪtʃən:kitchen;k:k,ɪtʃ:itch,ən:en;~~ɪ~ə~
kʌvəɹ:cover;k:c,ʌv:ov,əɹ:er;~~ʌ~ə~
kʌwəɹd:coward;k:c,ʌw:ow,əɹd:ard;~~ʌ~ə~
kʌwəɹdlɪ:cowardly;k:c,ʌw:ow,əɹdl:ardl,ɪ:y;~~ʌ~ə~ɪ~
kɑz:cause;k:c,ɑz:ause;~~ɑ~
kɔzd:caused;k:c,ɔzd:aused;~~ɔ~
kʌzn:cousin;k:c,ʌzn:ousin;~~ʌ~
kʌzən:cousin;k:c,ʌz:ous,ən:in;~~ʌ~ə~
kɛɹfəl:careful;k:c,ɛɹ:are,f:f,əl:ul;~~ɛ~~ə~
kɑɹlɪ:carly;k:c,ɑɹ:ar,l:l,ɪ:y;~~ɑ~~ɪ~
kɛɹlɛs:careless;k:c,ɛɹ:are,l:l,ɛs:ess;~~ɛ~~ɛ~
kɑɹ:car;k:c,ɑɹ:ar;~~ɑ~
kɪŋ:king;k:k,ɪŋ:ing;~~ɪ~
kɛə:care;k:c,ɛ:a,ə:re;~~ɛ~ə~
kɔɪ:caughey;k:c,ɔ:augh,ɪ:ey;~~ɔ~ɪ~
kɑɹbən:carbon;k:c,ɑɹb:arb,ən:on;~~ɑ~ə~
kɑɹd:card;k:c,ɑɹd:ard;~~ɑ~
kɔɹd:cord;k:c,ɔɹd:ord;~~ɔ~
kɑɹdbɔɹd:cardboard;k:c,ɑɹdb:ardb,ɔɹd:oard;~~ɑ~ɔ~
kɪŋdəm:kingdom;k:k,ɪŋd:ingd,əm:om;~~ɪ~ə~
kɔɹk:cork;k:c,ɔɹk:ork;~~ɔ~
kɑŋkwɛst:conquest;k:c,ɑŋkw:onqu,ɛst:est;~~ɑ~ɛ~
kɑŋkəɹ:conquer;k:c,ɑŋk:onqu,əɹ:er;~~ɑ~ə~
kɑŋkəɹəɹ:conqueror;k:c,ɑŋk:onqu,əɹ:er,əɹ:or;~~ɑ~ə~ə~
kɜɹl:curl;k:c,ɜɹl:url;~~ɜ~
kɑɹmən:carmen;k:c,ɑɹm:arm,ən:en;~~ɑ~ə~
kɔɹn:corn;k:c,ɔɹn:orn;~~ɔ~
kɔɹnkɹɪb:corncrib;k:c,ɔɹn:orn,kɹ:cr,ɪb:ib;~~ɔ~~ɪ~
kɜɹnz:kerns;k:k,ɜɹnz:erns;~~ɜ~
kɔɹnəɹ:corner;k:c,ɔɹn:orn,əɹ:er;~~ɔ~ə~
kɔɹpsəz:corpses;k:c,ɔɹps:orps,əz:es;~~ɔ~ə~
kɔɹs:corse;k:c,ɔɹs:orse;~~ɔ~
kɔɹs:coarse;k:c,ɔɹs:oarse;~~ɔ~
kɔɹs:course;k:c,ɔɹs:ourse;~~ɔ~
kɜɹs:curse;k:c,ɜɹs:urse;~~ɜ~
kɑɹt:cart;k:c,ɑɹt:art;~~ɑ~
kɔɹt:court;k:c,ɔɹt:ourt;~~ɔ~
kɜɹtɛn:curtain;k:c,ɜɹt:urt,ɛn:ain;~~ɜ~ɛ~
kɜɹv:curve;k:c,ɜɹv:urve;~~ɜ~
kɑɹz:cars;k:c,ɑɹz:ars;~~ɑ~
kɛɹɪ:carrey;k:c,ɛɹ:arr,ɪ:ey;~~ɛ~ɪ~
kɛɹədʒ:carriage;k:c,ɛɹ:arr,ədʒ:iage;~~ɛ~ə~
kʌɹɛdʒ:courage;k:c,ʌɹ:ou,ɛdʒ:rage;~~ʌ~ɛ~
kɛɹɪktəɹ:character;k:ch,ɛɹ:ar,ɪkt:act,əɹ:er;~~ɛ~ɪ~ə~
kɔɹəlz:chorals;k:ch,ɔɹ:or,əlz:als;~~ɔ~ə~
kɑʃən:caution;k:c,ɑʃ:aut,ən:ion;~~ɑ~ə~
kʊʃən:cushion;k:c,ʊʃ:ush,ən:ion;~~ʊ~ə~
kɜɹənt:current;k:c,ɜɹ:urr,ənt:ent;~~ɜ~ə~
kʌɹɛnt:current;k:c,ʌɹ:urr,ɛnt:ent;~~ʌ~ɛ~
kɜɹəntlɪ:currently;k:c,ɜɹ:urr,əntl:entl,ɪ:y;~~ɜ~ə~ɪ~
kɔʃəs:cautious;k:c,ɔʃ:aut,əs:ious;~~ɔ~ə~
kɛɹəvɛl:caravelle;k:c,ɛɹ:ar,əv:av,ɛl:elle;~~ɛ~ə~ɛ~
kʌltɪveɪʃən:cultivation;k:c,ʌlt:ult,ɪv:iv,eɪʃ:at,ən:ion;~~ʌ~ɪ~eɪ~ə~
kɑmbəneɪʃən:combination;k:c,ɑmb:omb,ən:in,eɪʃ:at,ən:ion;~~ɑ~ə~eɪ~ə~
kɑmpləkeɪʃən:complication;k:c,ɑmpl:ompl,ək:ic,eɪʃ:at,ən:ion;~~ɑ~ə~eɪ~ə~
kɑmpətɪʃən:competition;k:c,ɑmp:omp,ət:et,ɪʃ:it,ən:ion;~~ɑ~ə~ɪ~ə~
kɑmpəzɪʃən:composition;k:c,ɑmp:omp,əz:os,ɪʃ:it,ən:ion;~~ɑ~ə~ɪ~ə~
kɑmpɹɪhɛnsɪv:comprehensive;k:c,ɑmpɹ:ompr,ɪh:eh,ɛns:ens,ɪv:ive;~~ɑ~ɪ~ɛ~ɪ~
kɑnfədɛnʃəl:confidential;k:c,ɑnf:onf,əd:id,ɛnʃ:ent,əl:ial;~~ɑ~ə~ɛ~ə~
kɑnstæntənoʊpl:constantinople;k:c,ɑnst:onst,ænt:ant,ən:in,oʊpl:ople;~~ɑ~æ~ə~oʊ~
kɑnsəlteɪʃən:consultation;k:c,ɑns:ons,əlt:ult,eɪʃ:at,ən:ion;~~ɑ~ə~eɪ~ə~
kɑnvəɹseɪʃən:conversation;k:c,ɑnv:onv,əɹs:ers,eɪʃ:at,ən:ion;~~ɑ~ə~eɪ~ə~
kɑɹbəʊhaɪdɹəɪts:carbohydrates;k:c,ɑɹb:arb,əʊh:oh,aɪdɹ:ydr,əɪts:ates;~~ɑ~əʊ~aɪ~əɪ~
kɔɹpəɹeɪʃənz:corporation's;k:c,ɔɹp:orp,əɹ:or,eɪʃ:at,ənz:ion's;~~ɔ~ə~eɪ~ə~
kɹæk:crack;kɹ:cr,æk:ack;~~æ~
kɹæʃ:crash;kɹ:cr,æʃ:ash;~~æ~
kɹaɪtɪɹɪə:criteria;kɹ:cr,aɪt:it,ɪɹ:er,ɪ:i,ə:a;~~aɪ~ɪ~ɪ~ə~
kɹaɪ:cry;kɹ:cr,aɪ:y;~~aɪ~
kɹaʊd:crowd;kɹ:cr,aʊd:owd;~~aʊ~
kɹaɪm:crime;kɹ:cr,aɪm:ime;~~aɪ~
kɹaʊn:crown;kɹ:cr,aʊn:own;~~aʊ~
kɹaɪst:christ;kɹ:chr,aɪst:ist;~~aɪ~
kɹeɪzɪ:crazy;kɹ:cr,eɪz:az,ɪ:y;~~eɪ~ɪ~
kɹeɪzɪjɜɹ:crazier;kɹ:cr,eɪz:az,ɪj:i,ɜɹ:er;~~eɪ~ɪ~ɜ~
kɹim:cream;kɹ:cr,im:eam;~~i~
kɹip:creep;kɹ:cr,ip:eep;~~i~
kɹitʃəɹ:creature;kɹ:cr,itʃ:eat,əɹ:ure;~~i~ə~
kɹiʃnə:krishna;kɹ:kr,iʃn:ishn,ə:a;~~i~ə~
kɹoʊkipəɹz:crowkeepers;kɹ:cr,oʊk:owk,ip:eep,əɹz:ers;~~oʊ~i~ə~
kɹoʊlɪ:croley;kɹ:cr,oʊl:ol,ɪ:ey;~~oʊ~ɪ~
kɹoʊnɪɪzəm:cronyism;kɹ:cr,oʊn:on,ɪ:y,ɪz:is,əm:m;~~oʊ~ɪ~ɪ~ə~
kɹuɛl:cruel;kɹ:cr,u:u,ɛl:el;~~u~ɛ~
kɹuɛltɪ:cruelty;kɹ:cr,u:u,ɛlt:elt,ɪ:y;~~u~ɛ~ɪ~
kɹɪeɪt:create;kɹ:cr,ɪ:e,eɪt:ate;~~ɪ~eɪ~
kɹɪeɪtəd:created;kɹ:cr,ɪ:e,eɪt:at,əd:ed;~~ɪ~eɪ~ə~
kɹɪeɪtɪv:creative;kɹ:cr,ɪ:e,eɪt:at,ɪv:ive;~~ɪ~eɪ~ɪ~
kɹɪeɪtɪŋ:creating;kɹ:cr,ɪ:e,eɪt:at,ɪŋ:ing;~~ɪ~eɪ~ɪ~
kəʊlməɪnɛɹəʊ:colmenero;k:c,əʊlm:olm,əɪn:en,ɛɹ:er,əʊ:o;~~əʊ~əɪ~ɛ~əʊ~
kəʊmɔɹɪ:komori;k:k,əʊm:om,ɔɹ:or,ɪ:i;~~əʊ~ɔ~ɪ~
kəʊmɪŋɡld:commingled;k:c,əʊm:omm,ɪŋɡld:ingled;~~əʊ~ɪ~
kəʊɜɹsɪv:coercive;k:c,əʊ:o,ɜɹs:erc,ɪv:ive;~~əʊ~ɜ~ɪ~
kɹɛdət:credit;kɹ:cr,ɛd:ed,ət:it;~~ɛ~ə~
kɹɪkɛt:cricket;kɹ:cr,ɪk:ick,ɛt:et;~~ɪ~ɛ~
kɹɔl:crall;kɹ:cr,ɔl:all;~~ɔ~
kɹɛl:krell;kɹ:kr,ɛl:ell;~~ɛ~
kɹɪmənəl:criminal;kɹ:cr,ɪm:im,ən:in,əl:al;~~ɪ~ə~ə~
kɔɪn:coin;k:c,ɔɪn:oin;~~ɔɪ~
kɹʌntʃ:crunch;kɹ:cr,ʌntʃ:unch;~~ʌ~
kɹɑp:crop;kɹ:cr,ɑp:op;~~ɑ~
kɹɔs:cross;kɹ:cr,ɔs:oss;~~ɔ~
kɹɪsməs:christmas;kɹ:chr,ɪsm:istm,əs:as;~~ɪ~ə~
kɹɪstɑfɜɹ:christopher;kɹ:chr,ɪst:ist,ɑf:oph,ɜɹ:er;~~ɪ~ɑ~ɜ~
kɹɪstʃən:christian;kɹ:chr,ɪstʃ:ist,ən:ian;~~ɪ~ə~
kɹɪtɪk:critic;kɹ:cr,ɪt:it,ɪk:ic;~~ɪ~ɪ~
kɹɪtɪsaɪzɪz:criticizes;kɹ:cr,ɪt:it,ɪs:ic,aɪz:iz,ɪz:es;~~ɪ~ɪ~aɪ~ɪ~
kɹʌʃ:crush;kɹ:cr,ʌʃ:ush;~~ʌ~
læb:lab;l:l,æb:ab;~~æ~
lædəɹ:ladder;l:l,æd:add,əɹ:er;~~æ~ə~
læk:lack;l:l,æk:ack;~~æ~
læm:lamb;l:l,æm:amb;~~æ~
læmdə:lambda;l:l,æmd:ambd,ə:a;~~æ~ə~
læmp:lamp;l:l,æmp:amp;~~æ~
lændlɔɹd:landlord;l:l,ænd:and,l:l,ɔɹd:ord;~~æ~~ɔ~
lændskeɪpɪŋ:landscaping;l:l,ænd:and,sk:sc,eɪp:ap,ɪŋ:ing;~~æ~~eɪ~ɪ~
lænd:land;l:l,ænd:and;~~æ~
læst:last;l:l,æst:ast;~~æ~
lætəɹ:latter;l:l,æt:att,əɹ:er;~~æ~ə~
læŋɡwədʒ:language;l:l,æŋɡw:angu,ədʒ:age;~~æ~ə~
laɪbɹɛɹiən:librarian;l:l,aɪbɹ:ibr,ɛɹ:ar,i:i,ən:an;~~aɪ~ɛ~i~ə~
laɪ:lie;l:l,aɪ:ie;~~aɪ~
laɪbɹɛɹi:library;l:l,aɪbɹ:ibr,ɛɹ:ar,i:y;~~aɪ~ɛ~i~
laʊd:loud;l:l,aʊd:oud;~~aʊ~
laɪf:life;l:l,aɪf:ife;~~aɪ~
laɪk:like;l:l,aɪk:ike;~~aɪ~
laɪklɪ:likely;l:l,aɪkl:ikel,ɪ:y;~~aɪ~ɪ~
laɪl:lisle;l:l,aɪl:isle;~~aɪ~
laɪn:line;l:l,aɪn:ine;~~aɪ~
laɪnz:lines;l:l,aɪnz:ines;~~aɪ~
laʊnəɹ:lawner;l:l,aʊn:awn,əɹ:er;~~aʊ~ə~
laɪsɪŋ:leising;l:l,aɪs:eis,ɪŋ:ing;~~aɪ~ɪ~
laɪt:light;l:l,aɪt:ight;~~aɪ~
laɪtl:lytle;l:l,aɪtl:ytle;~~aɪ~
laɪtn:lighten;l:l,aɪtn:ighten;~~aɪ~
laɪtnɪŋ:lightning;l:l,aɪtn:ightn,ɪŋ:ing;~~aɪ~ɪ~
laɪv:live;l:l,aɪv:ive;~~aɪ~
laɪən:lion;l:l,aɪ:i,ən:on;~~aɪ~ə~
laɪəɹ:liar;l:l,aɪ:i,əɹ:ar;~~aɪ~ə~
leɪ:lay;l:l,eɪ:ay;~~eɪ~
leɪbəɹ:labor;l:l,eɪb:ab,əɹ:or;~~eɪ~ə~
leɪdɪ:lady;l:l,eɪd:ad,ɪ:y;~~eɪ~ɪ~
leɪk:lake;l:l,eɪk:ake;~~eɪ~
leɪmən:laymen;l:l,eɪm:aym,ən:en;~~eɪ~ə~
leɪtlɪ:lately;l:l,eɪt:ate,l:l,ɪ:y;~~eɪ~~ɪ~
leɪt:late;l:l,eɪt:ate;~~eɪ~
leɪtəst:latest;l:l,eɪt:at,əst:est;~~eɪ~ə~
leɪtəɹ:later;l:l,eɪt:at,əɹ:er;~~eɪ~ə~
leɪzɪ:lazy;l:l,eɪz:az,ɪ:y;~~eɪ~ɪ~
lib:leeb;l:l,ib:eeb;~~i~
lidəɹʃɪp:leadership;l:l,id:ead,əɹ:er,ʃ:sh,ɪp:ip;~~i~ə~~ɪ~
lidəɹ:leader;l:l,id:ead,əɹ:er;~~i~ə~
lidɪŋ:leading;l:l,id:ead,ɪŋ:ing;~~i~ɪ~
lif:leaf;l:l,if:eaf;~~i~
likəʊ:leeco;l:l,ik:eec,əʊ:o;~~i~əʊ~
lin:lean;l:l,in:ean;~~i~
list:least;l:l,ist:east;~~i~
litəɹ:liter;l:l,it:it,əɹ:er;~~i~ə~
liv:leave;l:l,iv:eave;~~i~
liɡəl:legal;l:l,iɡ:eg,əl:al;~~i~ə~
lowəɹ:lower;l:l,ow:ow,əɹ:er;~~o~ə~
loʊ:low;l:l,oʊ:ow;~~oʊ~
loʊd:load;l:l,oʊd:oad;~~oʊ~
loʊf:loaf;l:l,oʊf:oaf;~~oʊ~
loʊkeɪt:locate;l:l,oʊk:oc,eɪt:ate;~~oʊ~eɪ~
loʊkeɪtəd:located;l:l,oʊk:oc,eɪt:at,əd:ed;~~oʊ~eɪ~ə~
loʊkəl:local;l:l,oʊk:oc,əl:al;~~oʊ~ə~
loʊnlɪ:lonely;l:l,oʊn:one,l:l,ɪ:y;~~oʊ~~ɪ~
loʊn:loan;l:l,oʊn:oan;~~oʊ~
lus:loose;l:l,us:oose;~~u~
lusn:loosen;l:l,usn:oosen;~~u~
luz:lose;l:l,uz:ose;~~u~
ləɹinə:larina;l:l,əɹ:ar,in:in,ə:a;~~ə~i~ə~
lɔ:law;l:l,ɔ:aw;~~ɔ~
lɪbəɹti:liberty;l:l,ɪb:ib,əɹt:ert,i:y;~~ɪ~ə~i~
lɛd:led;l:l,ɛd:ed;~~ɛ~
lɛd:lead;l:l,ɛd:ead;~~ɛ~
lɪd:lid;l:l,ɪd:id;~~ɪ~
lɛdloʊ:ledlow;l:l,ɛdl:edl,oʊ:ow;~~ɛ~oʊ~
lɑdʒ:lodge;l:l,ɑdʒ:odge;~~ɑ~
lɑdʒɪŋ:lodging;l:l,ɑdʒ:odg,ɪŋ:ing;~~ɑ~ɪ~
lɑdʒɪŋz:lodgings;l:l,ɑdʒ:odg,ɪŋz:ings;~~ɑ~ɪ~
lʌf:laugh;l:l,ʌf:augh;~~ʌ~
lɛft:left;l:l,ɛft:eft;~~ɛ~
lɪft:lift;l:l,ɪft:ift;~~ɪ~
lʌftəɹ:laughter;l:l,ʌft:aught,əɹ:er;~~ʌ~ə~
lɛfəɹt:lefort;l:l,ɛf:ef,əɹt:ort;~~ɛ~ə~
lɑk:lock;l:l,ɑk:ock;~~ɑ~
lʊk:look;l:l,ʊk:ook;~~ʊ~
lʌk:luck;l:l,ʌk:uck;~~ʌ~
lʌki:lucky;l:l,ʌk:uck,i:y;~~ʌ~i~
lʊks:looks;l:l,ʊks:ooks;~~ʊ~
lʊkt:looked;l:l,ʊkt:ooked;~~ʊ~
lɪkwɪd:liquid;l:l,ɪkw:iqu,ɪd:id;~~ɪ~ɪ~
lʊkɪŋ:looking;l:l,ʊk:ook,ɪŋ:ing;~~ʊ~ɪ~
lɪm:limb;l:l,ɪm:imb;~~ɪ~
lʌmp:lump;l:l,ʌmp:ump;~~ʌ~
lɪmət:limit;l:l,ɪm:im,ət:it;~~ɪ~ə~
lɪmətəd:limited;l:l,ɪm:im,ət:it,əd:ed;~~ɪ~ə~ə~
lɛnd:lend;l:l,ɛnd:end;~~ɛ~
lʌndən:london;l:l,ʌnd:ond,ən:on;~~ʌ~ə~
lɔntʃ:launch;l:l,ɔntʃ:aunch;~~ɔ~
lʌntʃ:lunch;l:l,ʌntʃ:unch;~~ʌ~
lɪpstɪk:lipstick;l:l,ɪp:ip,st:st,ɪk:ick;~~ɪ~~ɪ~
lɪp:lip;l:l,ɪp:ip;~~ɪ~
lɛs:less;l:l,ɛs:ess;~~ɛ~
lɔs:loss;l:l,ɔs:oss;~~ɔ~
lɛsn:lessen;l:l,ɛsn:essen;~~ɛ~
lɛsn:lesson;l:l,ɛsn:esson;~~ɛ~
lɪsn:listen;l:l,ɪsn:isten;~~ɪ~
lɪst:list;l:l,ɪst:ist;~~ɪ~
lɔst:lost;l:l,ɔst:ost;~~ɔ~
lɪsɪ:lissy;l:l,ɪs:iss,ɪ:y;~~ɪ~ɪ~
lɛsən:lesson;l:l,ɛs:ess,ən:on;~~ɛ~ə~
lɛt:let;l:l,ɛt:et;~~ɛ~
lɑt:lot;l:l,ɑt:ot;~~ɑ~
lɪtl:little;l:l,ɪtl:ittle;~~ɪ~
lɑts:lots;l:l,ɑts:ots;~~ɑ~
lɛtəɹ:letter;l:l,ɛt:ett,əɹ:er;~~ɛ~ə~
lɪtɪɡeɪtɪd:litigated;l:l,ɪt:it,ɪɡ:ig,eɪt:at,ɪd:ed;~~ɪ~ɪ~eɪ~ɪ~
lɪtɛɹəlɪ:literally;l:l,ɪt:it,ɛɹ:er,əl:all,ɪ:y;~~ɪ~ɛ~ə~ɪ~
lɪtəɹətʃəɹ:literature;l:l,ɪt:it,əɹ:er,ətʃ:at,əɹ:ure;~~ɪ~ə~ə~ə~
lɪtəɹɛɹɪ:literary;l:l,ɪt:it,əɹ:er,ɛɹ:ar,ɪ:y;~~ɪ~ə~ɛ~ɪ~
lʌvlɪ:lovely;l:l,ʌv:ove,l:l,ɪ:y;~~ʌ~~ɪ~
lʌv:love;l:l,ʌv:ove;~~ʌ~
lɪvd:lived;l:l,ɪvd:ived;~~ɪ~
lɪvz:lives;l:l,ɪvz:ives;~~ɪ~
lɛvɛl:level;l:l,ɛv:ev,ɛl:el;~~ɛ~ɛ~
lɛvəlz:levels;l:l,ɛv:ev,əlz:els;~~ɛ~ə~
lɛvɛlz:levels;l:l,ɛv:ev,ɛlz:els;~~ɛ~ɛ~
lɪvɪŋ:living;l:l,ɪv:iv,ɪŋ:ing;~~ɪ~ɪ~
lɔjəɹ:lawyer;l:l,ɔj:awy,əɹ:er;~~ɔ~ə~
lɛðəɹ:leather;l:l,ɛð:eath,əɹ:er;~~ɛ~ə~
lɛɡ:leg;l:l,ɛɡ:eg;~~ɛ~
lɔɡ:log;l:l,ɔɡ:og;~~ɔ~
lɔŋ:long;l:l,ɔŋ:ong;~~ɔ~
lʌŋ:lung;l:l,ʌŋ:ung;~~ʌ~
lɔɹd:lord;l:l,ɔɹd:ord;~~ɔ~
lɑɹdʒlɪ:largely;l:l,ɑɹdʒ:arge,l:l,ɪ:y;~~ɑ~~ɪ~
lɑɹdʒ:large;l:l,ɑɹdʒ:arge;~~ɑ~
lɛŋgθ:length;l:l,ɛŋg:eng,θ:th;~~ɛ~~
lɪŋk:link;l:l,ɪŋk:ink;~~ɪ~
lɪŋks:link's;l:l,ɪŋks:ink's;~~ɪ~
lɜɹn:learn;l:l,ɜɹn:earn;~~ɜ~
lɜɹnd:learned;l:l,ɜɹnd:earned;~~ɜ~
lɜɹnɪŋ:learning;l:l,ɜɹn:earn,ɪŋ:ing;~~ɜ~ɪ~
lɑɹə:lara;l:l,ɑɹ:ar,ə:a;~~ɑ~ə~
lɔɹəns:lowrance;l:l,ɔɹ:owr,əns:ance;~~ɔ~ə~
lɑŋɡlɪ:longley;l:l,ɑŋɡl:ongl,ɪ:ey;~~ɑ~ɪ~
lɛŋθn:lengthen;l:l,ɛŋθn:engthen;~~ɛ~
lɛŋθən:lengthen;l:l,ɛŋθ:ength,ən:en;~~ɛ~ə~
lɔŋɡəɹ:longer;l:l,ɔŋɡ:ong,əɹ:er;~~ɔ~ə~
lɔŋdistəns:longdistance;l:l,ɔŋ:ong,d:d,ist:ist,əns:ance;~~ɔ~~i~ə~
ləʊkeɪʃən:location;l:l,əʊk:oc,eɪʃ:at,ən:ion;~~əʊ~eɪ~ə~
ləʊkweɪʃəs:loquacious;l:l,əʊkw:oqu,eɪʃ:ac,əs:ious;~~əʊ~eɪ~ə~
lɔɪəl:loyal;l:l,ɔɪ:oy,əl:al;~~ɔɪ~ə~
lɔɪəltɪ:loyalty;l:l,ɔɪ:oy,əlt:alt,ɪ:y;~~ɔɪ~ə~ɪ~
mæd:mad;m:m,æd:ad;~~æ~
mædn:madden;m:m,ædn:adden;~~æ~
mædʒɪk:magic;m:m,ædʒ:ag,ɪk:ic;~~æ~ɪ~
mæməʊɡɹæm:mammogram;m:m,æm:amm,əʊɡɹ:ogr,æm:am;~~æ~əʊ~æ~
mænkaɪnd:mankind;m:m,æn:an,k:k,aɪnd:ind;~~æ~~aɪ~
mæn:man;m:m,æn:an;~~æ~
mændeɪts:mandates;m:m,ænd:and,eɪts:ates;~~æ~eɪ~
mændəɹənz:mandarins;m:m,ænd:and,əɹ:ar,ənz:ins;~~æ~ə~ə~
mænədʒ:manage;m:m,æn:an,ədʒ:age;~~æ~ə~
mænədʒmənt:management;m:m,æn:an,ədʒm:agem,ənt:ent;~~æ~ə~ə~
mænədʒəɹ:manager;m:m,æn:an,ədʒ:ag,əɹ:er;~~æ~ə~ə~
mænɛdʒəɹ:manager;m:m,æn:an,ɛdʒ:ag,əɹ:er;~~æ~ɛ~ə~
mænɪk:manic;m:m,æn:an,ɪk:ic;~~æ~ɪ~
mænəɹ:manner;m:m,æn:ann,əɹ:er;~~æ~ə~
mæp:map;m:m,æp:ap;~~æ~
mæs:mass;m:m,æs:ass;~~æ~
mæstəɹ:master;m:m,æst:ast,əɹ:er;~~æ~ə~
mæstəɹbeɪtɪŋ:masterbating;m:m,æst:ast,əɹb:erb,eɪt:at,ɪŋ:ing;~~æ~ə~eɪ~ɪ~
mæt:mat;m:m,æt:at;~~æ~
